Name,SN,Added to VUE?,Printed ID,Scientific Name,Order #,Min Delay (sec),Max Delay (sec),Est Battery Life (days),Step 1 Time (days),Transmitter Model,Temp Range,Temp Accuracy (oC),Temp Resolution (oC),Depth Range,Max Depth,Depth Accuracy (m),Depth Resolution (0.22),ID or P sensor ID,P Slope,P Intercept,T sensor ID,T Slope,T Intercept,Short Common Name,Batch,Floy Tag #,PIT Code,Total Length,Weight,Sex,Surgeon,Surgery Time,Volts,HZ,Shock Time,Duty %,Mode,Clove oil (ppm),Date Tagged,Year Tagged,Est. Battery Dead,Capture Location Easting,Capture Location Northing,Release Location Easting,Release Location Northing,First Detection,Location,Status,First Detection Date,Final Date,Bad P Sensor,Notes
Carp 340,1096454,Y,3266,Cyprinus carpio,10121,60,180,727,737,V13P-1x,,,,0 to 50 m,50,2.5,0.22,A69-9002-3266,0.2198,-0.8794,,,,Carp,Fall 2010,97,,340,,,Nick,,,,,,,,09/09/2010,2010,05/Sep/2012,,,,,9/9/2010,Embayment D,Dead,5/18/2011,4/3/2012,no,Died over winter in Emb D
Bass 460,1070709,Y,24,Micropterus salmoides,8129,45,135,865,875,V13TP-1x,0 to 40 oC,0.5,0.15,0 to 100 m,100,5,0.44,A69-1105-24,0.4397,-1.7587,A69-1105-23,0.1569,0,Bass,Fall 2010,59,,460,2160,,Nick,,,,,,,,08/09/2010,2010,20/Jan/2013,,,,,9/11/2010,Embayment D,Transmitter died,,10/11/2012,yes,Survived and remained in harbour (Toronto Islands)
Bass 496,1070703,Y,12,Micropterus salmoides,8129,45,135,865,875,V13TP-1x,0 to 40 oC,0.5,0.15,0 to 100 m,100,5,0.44,A69-1105-12,0.4397,-1.7587,A69-1105-11,0.1569,0,Bass,Fall 2010,58,,496,2572,,Nick,,,,,,,,08/09/2010,2010,20/Jan/2013,,,,,9/9/2010,Embayment D,Missing,3/31/2012,3/31/2012,no,"Diead, last seen in cell 2"
Carp 470,1133632,Y,14480,Cyprinus carpio,12897,130,270,1241,1251,V13TP-1x,35 to -5 oC,0.5,0.15,0 to 50 m,50,2.5,0.22,A69-9002-14481,0.2315,-0.6245,A69-9002-14480,0.1569,-5,Carp,Spring 2012,187,95b33cf,470,1706,Male,Nick,0:10:28,,,,,,,09/05/2012,2012,02/Oct/2015,635161,4832081,635161,4832081,5/10/2012,1 - Outer Harbour Marina,Alive,5/10/2012,11/27/2012,No,
Carp 481,1133624,Y,14464,Cyprinus carpio,12897,130,270,1241,1251,V13TP-1x,35 to -5 oC,0.5,0.15,0 to 50 m,50,2.5,0.22,A69-9002-14465,0.2276,-0.7983,A69-9002-14464,0.1569,-5,Carp,Spring 2012,176,95b33d0,481,1562,Female,Nick,0:08:40,,,,,,,09/05/2012,2012,02/Oct/2015,635230,4831982,635224,4831979,,37 - Cell 3,Alive,5/16/2012,11/29/2012,No,
Carp 497,1159661,Y,13516,Cyprinus carpio,14909,130,270,1241,1251,V13TP-1x,35 to -5 oC,0.5,0.15,0 to 50 m,50,2.5,0.22,A69-9002-13516,0.2326,-0.8426,A69-9002-13515,0.1569,-5,Carp,May 2013,135 green,982000190216713,497,2050,M,Max,06:09,100,100,3,25,?,,08/05/2013,2013,30/Sep/2016,Keating Channel,,Keating Channel,,,,,,,,
Carp 502,1159651,Y,13496,Cyprinus carpio,14909,130,270,1241,1251,V13TP-1x,35 to -5 oC,0.5,0.15,0 to 50 m,50,2.5,0.22,A69-9002-13496,0.2285,-0.8597,A69-9002-13495,0.1569,-5,Carp,July 2013,006562 yellow,982000190216871,502,1822,?,Max,6:03,90,100,300,?,?,NA,10/07/2013,2013,02/Dec/2016,Bullhead Bay,,Bullhead Bay,,,,,,,,
Carp 506,1159650,Y,13494,Cyprinus carpio,14909,130,270,1241,1251,V13TP-1x,35 to -5 oC,0.5,0.15,0 to 50 m,50,2.5,0.22,A69-9002-13494,0.2377,-0.7620,A69-9002-13493,0.1569,-5,Carp,May 2013,NA,982000190216898,506,2316,F?,Max,07:54,90,100,3,25,?,,09/05/2013,2013,01/Oct/2016,Toronto Islands,,Toronto Islands,,,,,,,,
Carp 513,1133631,Y,14478,Cyprinus carpio,12897,130,270,1241,1251,V13TP-1x,35 to -5 oC,0.5,0.15,0 to 50 m,50,2.5,0.22,A69-9002-14479,0.2286,-0.9082,A69-9002-14478,0.1569,-5,Carp,Spring 2012,177,95b33d7,513,1800,Female,Nick,0:06:56,,,,,,,09/05/2012,2012,02/Oct/2015,635191,4831754,635191,4831754,,37 - Cell 3,Alive,5/16/2012,11/22/2012,No,
Carp 515,1133630,Y,14476,Cyprinus carpio,12897,130,270,1241,1251,V13TP-1x,35 to -5 oC,0.5,0.15,0 to 50 m,50,2.5,0.22,A69-9002-14477,0.231,-0.8608,A69-9002-14476,0.1569,-5,Carp,Spring 2012,184,95b33ce,515,1888,Male,Nick,0:06:08,,,,,,,09/05/2012,2012,02/Oct/2015,635161,4832081,635161,4832081,,36 - Back of Embayment C,Alive,5/9/2022,11/27/2012,No,
Carp 518,1133628,Y,14472,Cyprinus carpio,12897,130,270,1241,1251,V13TP-1x,35 to -5 oC,0.5,0.15,0 to 50 m,50,2.5,0.22,A69-9002-14473,0.236,-0.6675,A69-9002-14472,0.1569,-5,Carp,Spring 2012,194,95b33c2,518,1820,Male,Nick,0:08:32,,,,,,,09/05/2012,2012,02/Oct/2015,635161,4832081,635161,4832081,,36 - Back of Embayment C,Alive,5/9/2022,11/22/2012,Yes,July 27th - p sensor went to 60 m.
Carp 520,1159662,Y,13518,Cyprinus carpio,14909,130,270,1241,1251,V13TP-1x,35 to -5 oC,0.5,0.15,0 to 50m,50,,,A69-9002-13518,0.2198,-0.8794,A69-9002-13517,0.1569,-5,Carp,,,,520,2012,?,Max,4:38,100,90,?,?,,NA,02/10/2013,2013,24/Feb/2017,Embayment C,,,,,,,,,,
Pike 476,1070708,Y,22,Esox lucius,8129,45,135,865,875,V13TP-1x,0 to 40 oC,0.5,0.15,0 to 100 m,100,5,0.44,A69-1105-22,0.4397,-1.7587,A69-1105-21,0.1569,0,Pike,Fall 2010,69,,476,,,Nick,,,,,,,,08/09/2010,2010,20/Jan/2013,,,,,9/9/2010,Embayment C,Dead,8/22/2011,11/15/2012,yes,Died in Cell 2
Pike 496,1096453,Y,3265,Esox lucius,10121,60,180,727,737,V13P-1x,,,,0 to 50 m,50,2.5,0.22,A69-9002-3265,0.2198,-0.8794,,,,Pike,Fall 2010,67,,496,,,Nick,,,,,,,,08/09/2010,2010,04/Sep/2012,,,,,9/16/2010,Embayment C,Missing,1/12/2012,9/14/2012,no,Not sure if fish is dead or alive 
Pike 655,1096445,Y,3257,Esox lucius,10121,60,180,727,737,V13P-1x,,,,0 to 50 m,50,2.5,0.22,A69-9002-3257,0.2198,-0.8794,,,,Pike,Fall 2010,66,,655,,,Nick,,,,,,,,08/09/2010,2010,04/Sep/2012,,,,,9/9/2010,Embayment C,Missing,,17/05/2012,no,Last seen at Toronto Islands (Stn 41)
Pike 731,1070699,Y,4,Esox lucius,8129,45,135,865,875,V13TP-1x,0 to 40 oC,0.5,0.15,0 to 100 m,100,5,0.44,A69-1105-4,0.4397,-1.7587,A69-1105-3,0.1569,0,Pike,Fall 2010,68,,731,,,Nick,,,,,,,,08/09/2010,2010,20/Jan/2013,,,,,9/9/2010,Embayment C,Alive,,15/11/2012,no,Survived and remained in harbour
Pike 803,1070704,Y,14,Esox lucius,8129,45,135,865,875,V13TP-1x,0 to 40 oC,0.5,0.15,0 to 100 m,100,5,0.44,A69-1105-14,0.4397,-1.7587,A69-1105-13,0.1569,0,Pike,Fall 2010,70,,803,,,Nick,,,,,,,,08/09/2010,2010,20/Jan/2013,,,,,9/9/2010,Embayment C,Missing,6/15/2011,8/12/2011,yes,"Dead, last seen in cell 3 (stn 37)"
Pike 820,1070705,Y,16,Esox lucius,8129,45,135,865,875,V13TP-1x,0 to 40 oC,0.5,0.15,0 to 100 m,100,5,0.44,A69-1105-16,0.4397,-1.7587,A69-1105-15,0.1569,0,Pike,Fall 2010,71,,820,,,Nick,,,,,,,,08/09/2010,2010,20/Jan/2013,,,,,9/9/2010,Embayment C,Missing,7/2/2011,4/16/2012,yes,"Dead, last seen in embayment C"
Pike 896,1096446,Y,3258,Esox lucius,10121,60,180,727,737,V13P-1x,,,,0 to 50 m,50,2.5,0.22,A69-9002-3258,0.2198,-0.8794,,,,Pike,Fall 2010,64,,896,,,Nick,,,,,,,,08/09/2010,2010,04/Sep/2012,,,,,9/9/2010,Embayment C,Transmitter died,,4/29/2012,no,Survived and remained in harbour
Pike 900,1096447,Y,3259,Esox lucius,10121,60,180,727,737,V13P-1x,,,,0 to 50 m,50,2.5,0.22,A69-9002-3259,0.2198,-0.8794,,,,Pike,Fall 2010,62,,900,,,Nick,,,,,,,,08/09/2010,2010,04/Sep/2012,,,,,9/9/2010,Embayment C,Transmitter died,,9/14/2012,no,Survived and remained in harbour
Bass 391,1096427,Y,3238,Micropterus salmoides,10121,60,180,815,825,V13TP-1x,35 to -5 oC,0.5,0.15,0 to 50 m,50,2.5,0.22,A69-9002-3239,0.2198,-0.8794,A69-9002-3238,0.1569,-5,Bass,Fall 2010,13,,391,1010,,Nick,,,,,,,,09/09/2010,2010,02/Dec/2012,,,,,24/09/2010,Embayment C,Alive,,11/15/2012,no,Survived and remained in harbour
Bass 470,1096426,Y,3236,Micropterus salmoides,10121,60,180,815,825,V13TP-1x,35 to -5 oC,0.5,0.15,0 to 50 m,50,2.5,0.22,A69-9002-3237,0.2198,-0.8794,A69-9002-3236,0.1569,-5,Bass,Fall 2010,12,,470,1788,,Nick,,,,,,,,09/09/2010,2010,02/Dec/2012,,,,,11/8/2010,Embayment C,Missing,,7/20/2011,maybe,"Died, last seen in Cell 2"
Carp 525,1159660,Y,13514,Cyprinus carpio,14909,130,270,1241,1251,V13TP-1x,35 to -5 oC,0.5,0.15,0 to 50 m,50,2.5,0.22,A69-9002-13514,0.229,-1.1365,A69-9002-13513,0.1569,-5,Carp,May 2013,? Grey,982000190216785,525,2850,?,Jon,05:36,90,,,25,?,,07/05/2013,2013,29/Sep/2016,Toronto Islands - Bullhead Bay,,Toronto Islands - Bullhead Bay,,,,,,,,
Carp 536,1159655,Y,13504,Cyprinus carpio,14909,130,270,1241,1251,V13TP-1x,35 to -5 oC,0.5,0.15,0 to 50m,50,,,A69-9002-13504,0.2198,-0.8794,A69-9002-13503,0.1569,-5,Carp,,,,536,2072,?,Max,5:14,100,90,?,?,,NA,02/10/2013,2013,24/Feb/2017,Embayment C,,,,,,,,,,
Carp 543,1159693,Y,13486,Cyprinus carpio,14907,130,270,1241,1251,V13TP-1x,35 to -5 oC,0.5,0.15,0 to 50 m,50,2.5,0.22,A69-9002-13486,0.2358,-1.1218,A69-9002-13485,0.1569,-5,Carp,May 2013,NA,982000190216721,543,2244,M,Jon,02:51,90,100,3,25,?,,08/05/2013,2013,30/Sep/2016,Cell 2 & 3,,Cell 2 & 3,,,,,,,,
Carp 547,1159669,Y,13532,Cyprinus carpio,14909,130,270,1241,1251,V13TP-1x,35 to -5 oC,0.5,0.15,0 to 50 m,50,2.5,0.22,A69-9002-13532,0.2346,-0.8631,A69-9002-13531,0.1569,-5,Carp,July 2013,006563 yellow,982000190216849,547,2668,?,Max,8:04,90,100,300,?,?,NA,10/07/2013,2013,02/Dec/2016,Bullhead Bay,,Bullhead Bay,,,,,,,,
Carp 550,1159665,Y,13524,Cyprinus carpio,14909,130,270,1241,1251,V13TP-1x,35 to -5 oC,0.5,0.15,0 to 50 m,50,2.5,0.22,A69-9002-13524,0.2362,-0.8633,A69-9002-13523,0.1569,-5,Carp,May 2013,136 green,982000190216707,550,2626,M,Jon,04:48,100,100,3,25,?,,08/05/2013,2013,30/Sep/2016,Keating Channel,,Keating Channel,,,,,,,,
Carp 553,1133629,Y,14474,Cyprinus carpio,12897,130,270,1241,1251,V13TP-1x,35 to -5 oC,0.5,0.15,0 to 50 m,50,2.5,0.22,A69-9002-14475,0.2361,-0.9057,A69-9002-14474,0.1569,-5,Carp,Spring 2012,180,95b33de,553,1868,Male,Nick,0:05:51,,,,,,,09/05/2012,2012,02/Oct/2015,635168,4832090,635168,4832090,,37 - Cell 3,Alive,5/16/2012,12/11/2012,No,
Carp 570,1159695,Y,13490,Cyprinus carpio,14907,130,270,1241,1251,V13TP-1x,35 to -5 oC,0.5,0.15,0 to 50 m,50,2.5,0.22,A69-9002-13490,0.2268,-0.8759,A69-9002-13489,0.1569,-5,Carp,May 2013,NA,982000190216708,570,2846,F,Jon,04:12,90,100,3,25,?,,08/05/2013,2013,30/Sep/2016,Cell 2 & 3,,Cell 2 & 3,,,,,,,,
Pike 529,1096430,Y,3242,Esox lucius,10121,60,180,727,737,V13P-1x,,,,0 to 50 m,50,2.5,0.22,A69-9002-3242,0.2198,-0.8794,,,,Pike,Fall 2010,24,,529,1012,,Nick,,,,,,,,09/09/2010,2010,05/Sep/2012,,,,,19/10/2010,Embayment C,Transmitter died,,9/15/2012,no,Survived and remained in harbour
Pike 579,1096421,Y,3226,Esox lucius,10121,60,180,815,825,V13TP-1x,35 to -5 oC,0.5,0.15,0 to 50 m,50,2.5,0.22,A69-9002-3227,0.2198,-0.8794,A69-9002-3226,0.1569,-5,Pike,Fall 2010,19,,579,1340,,Nick,,,,,,,,09/09/2010,2010,02/Dec/2012,,,,,9/10/2010,Embayment C,Alive,,11/15/2012,no,Survived and remained in harbour
Pike 614,1096433,Y,3245,Esox lucius,10121,60,180,727,737,V13P-1x,,,,0 to 50 m,50,2.5,0.22,A69-9002-3245,0.2198,-0.8794,,,,Pike,Fall 2010,14,,614,1362,,Nick,,,,,,,,09/09/2010,2010,05/Sep/2012,,,,,9/11/2010,Embayment C,Transmitter died,,15/09/2012,no,Survived and remained in harbour
Pike 791,1096422,Y,3228,Esox lucius,10121,60,180,815,825,V13TP-1x,35 to -5 oC,0.5,0.15,0 to 50 m,50,2.5,0.22,A69-9002-3229,0.2198,-0.8794,A69-9002-3228,0.1569,-5,Pike,Fall 2010,20,,791,3546,,Nick,,,,,,,,09/09/2010,2010,02/Dec/2012,,,,,9/10/2010,Embayment C,Alive,,15/11/2012,yes,Survived and remained in harbour
Pike 797,1096423,Y,3230,Esox lucius,10121,60,180,815,825,V13TP-1x,35 to -5 oC,0.5,0.15,0 to 50 m,50,2.5,0.22,A69-9002-3231,0.2198,-0.8794,A69-9002-3230,0.1569,-5,Pike,Fall 2010,21,,797,3252,,Nick,,,,,,,,09/09/2010,2010,02/Dec/2012,,,,,13/9/2010,Embayment C,Alive,,15/11/2012,no,Survived and remained in harbour
Pike 894,1096431,Y,3243,Esox lucius,10121,60,180,727,737,V13P-1x,,,,0 to 50 m,50,2.5,0.22,A69-9002-3243,0.2198,-0.8794,,,,Pike,Fall 2010,18,,894,4692,,Nick,,,,,,,,09/09/2010,2010,05/Sep/2012,,,,,9/9/2010,Embayment B,Transmitter died,7/27/2011,9/15/2012,no,Survived and remained in harbour
Pike 925,1096435,Y,3247,Esox lucius,10121,60,180,727,737,V13P-1x,,,,0 to 50 m,50,2.5,0.22,A69-9002-3247,0.2198,-0.8794,,,,Pike,Fall 2010,16,,925,,,Nick,,,,,,,,09/09/2010,2010,05/Sep/2012,,,,,9/9/2010,2 - Cherry Beach,Transmitter died,,9/15/2012,no,Survived and remained in harbour
Pike 961,1096419,Y,3222,Esox lucius,10121,60,180,815,825,V13TP-1x,35 to -5 oC,0.5,0.15,0 to 50 m,50,2.5,0.22,A69-9002-3223,0.2198,-0.8794,A69-9002-3222,0.1569,-5,Pike,Fall 2010,22,,961,,,Nick,,,,,,,,09/09/2010,2010,02/Dec/2012,,,,,9/10/2011,Embayment C,Dead,10/16/2012,6/16/2012,yes,Died at Station 1 (OHM)
Pike 965,1096434,Y,3246,Esox lucius,10121,60,180,727,737,V13P-1x,,,,0 to 50 m,50,2.5,0.22,A69-9002-3246,0.2198,-0.8794,,,,Pike,Fall 2010,15,,965,,,Nick,,,,,,,,09/09/2010,2010,05/Sep/2012,,,,,9/9/2010,2 - Cherry Beach,Transmitter died,,9/12/2012,no,Survived and remained in harbour
Bass 438,1096425,Y,3234,Micropterus salmoides,10121,60,180,815,825,V13TP-1x,35 to -5 oC,0.5,0.15,0 to 50 m,50,2.5,0.22,A69-9002-3235,0.2198,-0.8794,A69-9002-3234,0.1569,-5,Bass,Fall 2010,207,,438,1522,,Nick,,,,,,,,10/09/2010,2010,03/Dec/2012,,,,,9/10/2011,9 - Outside Embayment C,Alive,,11/15/2012,no,Survived and remained in harbour
Bass 301,1070707,Y,20,Micropterus salmoides,8129,45,135,865,875,V13TP-1x,0 to 40 oC,0.5,0.15,0 to 100 m,100,5,0.44,A69-1105-20,0.4397,-1.7587,A69-1105-19,0.1569,0,Bass,Fall 2010,7,,301,528,,Nick,,,,,,,,20/09/2010,2010,01/Feb/2013,,,Embayment C,,20/09/2010,Embayment C,Missing,7/20/2011,7/20/2011,yes,Dead last seen in cell 2
Bass 309,1096443,Y,3255,Micropterus salmoides,10121,60,180,727,737,V13P-1x,,,,0 to 50 m,50,2.5,0.22,A69-9002-3255,0.2198,-0.8794,,,,Bass,Fall 2010,44,,309,538,,Nick,,,,,,,,20/09/2010,2010,16/Sep/2012,Toronto Islands,,Outer Harbour Marina,,21/09/2010,1 - Outer Harbour Marina,Missing,12/10/2010,9/26/2012,no,"Dead, last seen in Emb C"
Bass 323,1096437,Y,3249,Micropterus salmoides,10121,60,180,727,737,V13P-1x,,,,0 to 50 m,50,2.5,0.22,A69-9002-3249,0.2198,-0.8794,,,,Bass,Fall 2010,1,,323,578,,Nick,,,,,,,,20/09/2010,2010,16/Sep/2012,Toronto Islands,,Toronto Islands,,21/09/2010,Toronto Islands,Dead,9/20/2010,3/26/2011,no,"Died, never moved"
Bass 428,1070706,Y,18,Micropterus salmoides,8129,45,135,865,875,V13TP-1x,0 to 40 oC,0.5,0.15,0 to 100 m,100,5,0.44,A69-1105-18,0.4397,-1.7587,A69-1105-17,0.1569,0,Bass,Fall 2010,6,,428,1180,,Nick,,,,,,,,20/09/2010,2010,01/Feb/2013,Toronto Islands,,Toronto Islands,,23/09/2010,27 - Toronto Islands,Alive,,11/7/2012,no,Survived and remained in harbour (Toronto Islands)
Bass 442,1096442,Y,3254,Micropterus salmoides,10121,60,180,727,737,V13P-1x,,,,0 to 50 m,50,2.5,0.22,A69-9002-3254,0.2198,-0.8794,,,,Bass,Fall 2010,45,,442,1474,,Nick,,,,,,,,20/09/2010,2010,16/Sep/2012,Toronto Islands,,Outer Harbour Marina,,23/09/2010,1 - Outer Harbour Marina,Missing,,10/17/2011,no,"Died, last in back of embayment C"
Bass 450,1096432,Y,3244,Micropterus salmoides,10121,60,180,727,737,V13P-1x,,,,0 to 50 m,50,2.5,0.22,A69-9002-3244,0.2198,-0.8794,,,,Bass,Fall 2010,3,,450,1622,,Nick,,,,,,,,20/09/2010,2010,16/Sep/2012,Toronto Islands,,Toronto Islands,,9/23/2010,27 - Toronto Islands,Missing,12/14/2010,12/14/2010,no,Not seen since Dec. in Islands
Bass 454,1096439,Y,3251,Micropterus salmoides,10121,60,180,727,737,V13P-1x,,,,0 to 50 m,50,2.5,0.22,A69-9002-3251,0.2198,-0.8794,,,,Bass,Fall 2010,48,,454,1480,,Nick,,,,,,,,20/09/2010,2010,16/Sep/2012,Toronto Islands,,Outer Harbour Marina,,21/09/2010,1 - Outer Harbour Marina,Transmitter died,,9/26/2012,no,Floy Tag Shed
Bass 469,1096424,Y,3232,Micropterus salmoides,10121,60,180,815,825,V13TP-1x,35 to -5 oC,0.5,0.15,0 to 50 m,50,2.5,0.22,A69-9002-3233,0.2198,-0.8794,A69-9002-3232,0.1569,-5,Bass,Fall 2010,10,,469,2004,,Nick,,,,,,,,20/09/2010,2010,13/Dec/2012,,,Embayment C,,11/10/2010,Embayment C,Transmitter died,,11/15/2012,no,Survived and remained in harbour (cell 2-3)
Bass 488,1096441,Y,3253,Micropterus salmoides,10121,60,180,727,737,V13P-1x,,,,0 to 50 m,50,2.5,0.22,A69-9002-3253,0.2198,-0.8794,,,,Bass,Fall 2010,46,,488,2140,,Nick,,,,,,,,20/09/2010,2010,16/Sep/2012,Toronto Islands,,Outer Harbour Marina,,21/09/2010,1 - Outer Harbour Marina,Transmitter died,,9/26/2012,no,Survived and remained in harbour (Islands)
Bass 494,1096436,Y,3248,Micropterus salmoides,10121,60,180,727,737,V13P-1x,,,,0 to 50 m,50,2.5,0.22,A69-9002-3248,0.2198,-0.8794,,,,Bass,Fall 2010,2,,494,2290,,Nick,,,,,,,,20/09/2010,2010,16/Sep/2012,Toronto Islands,,Toronto Islands,,22/09/2010,Toronto Islands,Missing,8/17/2011,7/9/2012,yes,"Dead, last seen in station 40 "
Bass 496b,1096438,Y,3250,Micropterus salmoides,10121,60,180,727,737,V13P-1x,,,,0 to 50 m,50,2.5,0.22,A69-9002-3250,0.2198,-0.8794,,,,Bass,Fall 2010,49,,496,2342,,Nick,,,,,,,,20/09/2010,2010,16/Sep/2012,Toronto Islands,,Outer Harbour Marina,,21/09/2010,1 - Outer Harbour Marina,Transmitter died,,9/26/2012,no,Survived and remained in harbour (Islands)
Bass 497,1096440,Y,3252,Micropterus salmoides,10121,60,180,727,737,V13P-1x,,,,0 to 50 m,50,2.5,0.22,A69-9002-3252,0.2198,-0.8794,,,,Bass,Fall 2010,47,,497,2058,,Nick,,,,,,,,20/09/2010,2010,16/Sep/2012,Toronto Islands,,Outer Harbour Marina,,9/22/2010,2 - Cherry Beach,Missing,,7/2/2012,no,Last seen in july in outer harbour
Bass 454b,1116583,Y,15456,Micropterus salmoides,11603,60,180,815,825,V13TP-1x,35 to -5 oC,0.5,0.15,0 to 50 m,50,2.5,0.22,A69-9002-15457,0.2198,-0.8794,A69-9002-15456,0.1569,-5,Bass,Spring 2011,43,900118000137411,454,1532,,Nick,0:03:28,75,60,9,25,Pulsed DC,,06/06/2011,2011,29/Aug/2013,629993,4830295,629993,4830295,6/7/2011,40 - Toronto Islands,Alive,07/06/2011,05/11/2012,no,
Bass 455,1116582,Y,15454,Micropterus salmoides,11603,60,180,815,825,V13TP-1x,35 to -5 oC,0.5,0.15,0 to 50 m,50,2.5,0.22,A69-9002-15455,0.2198,-0.8794,A69-9002-15454,0.1569,-5,Bass,Spring 2011,42,900118000137445,455,1652,,Nick,0:04:58,75,60,9,25,Pulsed DC,,06/06/2011,2011,29/Aug/2013,629982,4830296,629982,4830296,6/8/2011,40 - Toronto Islands,Missing,08/06/2011,09/07/2012,no,
Bass 495,1116585,Y,15460,Micropterus salmoides,11603,60,180,815,825,V13TP-1x,35 to -5 oC,0.5,0.15,0 to 50 m,50,2.5,0.22,A69-9002-15461,0.2198,-0.8794,A69-9002-15460,0.1569,-5,Bass,Spring 2011,37,900118000137412,495,2190,,Nick,0:03:37,75,60,9,25,Pulsed DC,,06/06/2011,2011,29/Aug/2013,629968,4830373,629968,4830373,6/8/2011,40 - Toronto Islands,Alive,6/8/2011,11/11/2012,no,
Bass 500,1116584,Y,15458,Micropterus salmoides,11603,60,180,815,825,V13TP-1x,35 to -5 oC,0.5,0.15,0 to 50 m,50,2.5,0.22,A69-9002-15459,0.2198,-0.8794,A69-9002-15458,0.1569,-5,Bass,Spring 2011,39,900118000137455,500,2168,,Nick,0:03:30,75,60,9,25,Pulsed DC,,06/06/2011,2011,29/Aug/2013,629968,4830373,629968,4830373,6/8/2011,40 - Toronto Islands,Alive,6/8/2011,11/13/2012,no,
Pike 560,1116572,Y,15434,Esox lucius,11603,60,180,815,825,V13TP-1x,35 to -5 oC,0.5,0.15,0 to 50 m,50,2.5,0.22,A69-9002-15435,0.2198,-0.8794,A69-9002-15434,0.1569,-5,Pike,Spring 2011,26,900118000137403,560,1126,,Nick,0:04:09,75,60,12,25,Pulsed DC,,06/06/2011,2011,29/Aug/2013,630858,4830579,630858,4830579,6/9/2011,41 - Toronto Islands,Dead,6/9/2011,4/8/2012,yes,"Dead from the start, sensor failed after death"
Pike 605,1116581,Y,15452,Esox lucius,11603,60,180,815,825,V13TP-1x,35 to -5 oC,0.5,0.15,0 to 50 m,50,2.5,0.22,A69-9002-15453,0.2198,-0.8794,A69-9002-15452,0.1569,-5,Pike,Spring 2011,28,900118000137473,605,1348,,Nick,0:04:30,75,60,12,25,Pulsed DC,,06/06/2011,2011,29/Aug/2013,630956,4830783,630956,4830783,6/7/2011,41 - Toronto Islands,Dead,07/06/2011,14/05/2012,yes,"Dead from the start, sensor failed after death"
Pike 635,1116577,Y,15444,Esox lucius,11603,60,180,815,825,V13TP-1x,35 to -5 oC,0.5,0.15,0 to 50 m,50,2.5,0.22,A69-9002-15445,0.2198,-0.8794,A69-9002-15444,0.1569,-5,Pike,Spring 2011,34,900118000137428,635,1498,,Nick,0:05:24,75,60,9,25,Pulsed DC,,06/06/2011,2011,29/Aug/2013,630072,4831430,630072,4831430,6/7/2011,27 - Toronto Islands,Alive,07/06/2011,13/11/2012,no,Islands
Pike 815,1116578,Y,15446,Esox lucius,11603,60,180,815,825,V13TP-1x,35 to -5 oC,0.5,0.15,0 to 50 m,50,2.5,0.22,A69-9002-15447,0.2198,-0.8794,A69-9002-15446,0.1569,-5,Pike,Spring 2011,31,900118000137496,815,,,Nick,0:04:15,75,60,9,25,Pulsed DC,,06/06/2011,2011,29/Aug/2013,630493,4831299,630493,4831299,6/8/2011,41 - Toronto Islands,Alive,6/8/2011,12/1/2012,no,
Pike 850,1116580,Y,15450,Esox lucius,11603,60,180,815,825,V13TP-1x,35 to -5 oC,0.5,0.15,0 to 50 m,50,2.5,0.22,A69-9002-15451,0.2198,-0.8794,A69-9002-15450,0.1569,-5,Pike,Spring 2011,30,900118000137404,850,,,Nick,0:04:21,75,60,9,25,Pulsed DC,,06/06/2011,2011,29/Aug/2013,630537,4831264,630537,4831264,6/7/2011,41 - Toronto Islands,Dead,07/06/2011,20/07/2011,no,
Pike 865,1116579,Y,15448,Esox lucius,11603,60,180,815,825,V13TP-1x,35 to -5 oC,0.5,0.15,0 to 50 m,50,2.5,0.22,A69-9002-15449,0.2198,-0.8794,A69-9002-15448,0.1569,-5,Pike,Spring 2011,32,900118000137461,865,,,Nick,0:03:59,75,60,9,25,Pulsed DC,,06/06/2011,2011,29/Aug/2013,630458,4831285,630458,4831285,6/7/2011,41 - Toronto Islands,Dead,07/06/2011,12/03/2012,no,
Pike 915,1116586,Y,15462,Esox lucius,11603,60,180,815,825,V13TP-1x,35 to -5 oC,0.5,0.15,0 to 50 m,50,2.5,0.22,A69-9002-15463,0.2198,-0.8794,A69-9002-15462,0.1569,-5,Pike,Spring 2011,35,900118000137448,915,,,Nick,0:03:56,75,60,6,25,Pulsed DC,,06/06/2011,2011,29/Aug/2013,630072,4831426,630072,4831426,6/7/2011,27 - Toronto Islands,Alive,6/7/2011,11/13/2012,no,
Walleye 635,1111852,Y,31730,Sander vitreus,11286,60,180,935,945,V13-1x,,,,,0,,,A69-9001-31730,,,,,,Walleye,Spring 2011,29,900118000137421,635,3192,,Nick,0:03:47,75,60,6,25,Pulsed DC,,06/06/2011,2011,27/Dec/2013,630452,4831110,630452,4831110,6/7/2011,27 - Toronto Islands,Alive,6/7/2011,11/5/2012,no,overwintering outside of harbour
Walleye 653,1111853,Y,31731,Sander vitreus,11286,60,180,935,945,V13-1x,,,,,0,,,A69-9001-31731,,,,,,Walleye,Spring 2011,78,900118000137479,653,2620,,Nick,0:04:25,75,60,6,25,Pulsed DC,,06/06/2011,2011,27/Dec/2013,630892,4830689,630892,4830689,6/7/2011,41 - Toronto Islands,Alive,07/06/2011,03/11/2012,no,overwintering outside of harbour
